x1,y1,x2,y2,type
0,0,52.5,0,2
0,0,0,52.5,2
0,52.5,52.5,52.5,2
52.5,52.5,52.5,0,2
0,2.9,9.4,2.9,1
11.8,3.95,11.8,0,1
11.8,3.95,15.7,3.95,2
16.6,3.95,16.6,0,1
16.6,3.95,20.5,3.95,2
21.4,3.95,21.4,0,1
22.3,3.95,26.2,3.95,2
26.2,3.95,26.2,0,1
26.2,3.95,30.1,3.95,2
31,3.95,31,0,1
35.8,3.95,31.9,3.95,2
35.8,3.95,35.8,0,1
40.7,3.95,36.7,3.95,2
40.7,3.95,40.7,0,1
9.4,2.9,9.4,12.3,1
4.9,12.3,9.9,12.3,1
0,12.3,3.4,12.3,1
10.9,12.3,17.25,12.3,2
17.25,12.3,18.43,12.3,1
18.43,12.3,25.15,12.3,2
25.15,12.3,26.7,12.3,1
29.05,12.3,29.05,10.15,2
29.05,8.15,29.05,6,2
28.2,12.3,34.1,12.3,2
34.1,12.3,35.1,12.3,1
29.05,6,33.9,6,2
33.9,6,33.9,12.3,1
36.6,12.3,42.2,12.3,2
42.2,12.3,46.1,12.3,1
34.85,6,43.1,6,2
43.1,12.3,43.1,2.9,1
43.1,2.9,52.5,2.9,1
47.6,12.3,52.5,12.3,1
0,13.85,7.4,13.85,1
7.4,13.85,7.4,14.85,1
7.4,16.35,7.4,25.5,2
7.4,25.5,7.4,27.15,1
7.4,26.15,0,26.15,1
7.4,28.65,7.4,37.26,2
7.4,37.26,7.4,38.65,1
0,38.65,7.4,38.65,1
9.9,13.85,9.9,38.65,2
9.9,13.85,19.52,13.85,2
19.52,13.85,23.5,13.85,1
21.15,13.85,21.15,38.65,2
25,13.85,33.4,13.85,1
33.4,13.85,42.6,13.85,2
9.9,38.65,19.52,38.65,2
19.52,38.65,23.5,38.65,1
25,38.65,33.4,38.65,1
33.4,38.65,42.6,38.65,2
31.35,13.85,31.35,38.65,2
42.6,13.85,42.6,38.65,2
25.1,31.3,28.3,31.3,1
25.1,19.85,28.3,19.85,1
25.1,31.3,25.1,19.85,1
28.3,19.85,28.3,31.3,1
45.1,38.65,52.5,38.65,1
45.1,38.65,45.1,37.26,1
45.1,37.26,45.1,28.65,2
45.1,27.15,45.1,25.5,1
45.1,25.5,45.1,16.35,2
45.1,13.85,45.1,14.85,1
45.1,26.15,52.5,26.15,1
45.1,13.85,52.5,13.85,1
0,40.2,3.4,40.2,1
4.9,40.2,9.4,40.2,1
9.4,40.2,9.4,49.6,1
9.4,49.6,0,49.6,1
10.9,40.2,17.25,40.2,2
17.25,40.2,17.8,40.2,1
17.8,40.2,17.8,52.5,1
19.8,40.2,25.15,40.2,2
25.15,40.2,26.2,40.2,1
26.2,40.2,26.2,52.5,1
28.2,40.2,34.336,40.2,2
34.336,40.2,34.6,40.2,1
34.6,40.2,34.6,52.5,1
43.1,40.2,43.1,49.6,1
36.6,40.2,42.2,40.2,2
42.2,40.2,47.6,40.2,1
43.1,49.6,52.5,49.6,1
49.1,40.2,52.5,40.2,1
29.05,9.15,33.9,9.15,1
